Nome;BI;NIF;Morada;Codigo postal
Eda Coelho;6741312;709570496;Chã de João Tomé;4674-410
Rubi Miranda;13221059;676655188;Quinta das Vistas Palace Gardens;3208-669
Osvaldo Silva;6368884;76610058;Vila Nova do Coito;9864-994
Pacal Sousa;10342567;179418867;Ribeiro da Ardevelona;7032-419
Mariano Aragão;2259239;595264253;Ramalhais de Baixo;6293-935
Nádege Silveira;7825058;851683827;Ribeiro da Asseiceira;535-941
Noé Cardoso;13927421;995193299;Ribeira de Paraduça;6867-487
Vidálio Passos;931863;838685990;Galizas;5796-262
Ruperto da Costa;5075974;437977793;Caniceira;6407-939
Félix Mesquita;2452294;168771201;Cortes da Contenda;927-351
Sénio Feitosa;11497006;409892674;Terras de Bouro;8709-60
Emídio Guerrero;4275449;876668799;Corte Bucho;8852-229
Matias de Carvalho;6196440;877857764;Santa Cristina;6104-793
Apolinário Ligeiro;3441436;910682291;Ribeiro da Carrapatinha;6725-512
Haraldo Simão;15291434;992088789;Gafanha do Carmo;4153-836
Múcio Mourão;945585;842111419;Santa Eulalia Beach Club;8684-795
Adelmo Gil;2617201;489679447;Nossa Senhora do Monte;8239-274
Marto Vargas;16652014;111348755;Lapa dos Dinheiros;4101-716
Urbino Estrada;7282619;359586177;Barranco da Navalha;7571-353
Dírio Lucas;3513686;740027643;Lagoa do Marco;1695-446
Martim Raposo;6053365;838613298;Arazede;8715-200
Vili Paiva;10500268;513810783;São Martinho do Souto;8813-873
Dioclécio Loureiro;8078846;25213369;Picoteira Fundeira;1833-121
Caíco França;18954769;220671985;São Bernardo;1219-530
Zaíro Abrunhosa;12701435;596259666;Mangualde da Serra;9843-583
Urien Sousa;14958155;851711819;Cabanas do Chão;4516-455
Bértil Couto;8948004;953462188;Corterredor;1767-855
Alítio Conceição;15013765;943554777;Barranco dos Ladrões;1330-591
Délcio Rodrigues;4450492;650721095;Vale de Zebrinho;1407-777
Marcus Magalhães;11099450;17645314;Câmara do Bispo;8928-140
Bernardim Silvinho;16182418;650586186;Lameira;6376-410
Quirilo Ligeiro;11582499;585151066;Sobral de Casegas;4389-861
Jeremias Guerrero;12793862;42847895;Ribeira de Leomil;6720-152
Beto França;6122887;411455642;Sobradinho de Baixo;7578-584
Saúl Bernardes;473658;837163795;Sobreira Formosa;1729-435
Eberardo Pinto;2077733;254343125;Penteadeiros;4142-544
Célio Mascarenhas;14193922;216887555;Charneca;3417-294
Nero Cairo;2225;638904786;Ribeiro da Garganteira;9116-81
Sandrino Resende;15953386;934384073;Ribeira de Vale Raposo;661-995
Aguinaldo Lobo;19854247;824218917;Forca;4445-723
Evêncio Romero;4921392;628771441;São Bartolomeu de Via Glória;1206-958
Ronaldo Pinto;8994930;763181487;Ilhéu das Alturas;9954-255
Gaspar Silva;8844617;844804896;Entrada dos Mouros;9944-381
Leal da Costa;6616991;58972671;Carvalhal de Mansores;8033-660
Óscar Peres;8624428;87190610;Sistema Central;2334-339
Boavida Madureira;10808105;655048512;Barranco dos Currais;7028-657
Iag Galvão;9700872;981403125;Rio Diz;1476-929
Liberal Cerqueira;675280;241491874;Lagoinhas;9491-155
Hildegardo Carvalho;7912264;180134245;Ribeira de Jorjais;4795-298
Garcia Vidal;19237172;150252866;Tala;6796-384
Roberto Freitas;9248922;271467500;Devaqueira;5103-465
Amado da Silveira;4327581;36778482;Portas Fronhas;5395-382
Eric Marques;15033566;822242666;Morro de Rabo de Peixe;3930-269
Lopo Branco;4521365;68611191;Campo Benfeito;8819-756
Jordano Campos;19846568;892225105;Barranco dos Negros;2097-583
Anacleto Avelar;14108223;376962489;Pinhal do Valbom;7385-177
Parcídio Abreu;14482756;488541733;Tapada do Mendes;2948-69
Alvarino Cerqueira;5345220;687871796;Ceira;9777-109
Natalício Novo;6907652;995217848;Vilarelhe;2874-287
Cristiano Nogueira;13094094;39036372;Portinho da Barra;2740-32
Celto Tavares;12603835;298935347;Hotel Vila Galé Ampalius;8147-544
Angélico Figueiredo;8985500;839822196;Carreiras;4920-777
Érico Santana;15660440;215731994;Paredes Velhas;8074-446
Vidal Ferro;12862682;696182164;Coto;5456-990
Primitivo Portela;8276213;868946379;Barranco da Laje;9096-887
Salemo Brito;13232665;250243706;Grifa do Sul;7982-659
Renato Infante;16928342;25464199;Penados;371-951
Vivaldo Quaresma;12837840;412993894;Casas Soeiro;2808-705
Juventino Marquês;4809909;986319059;Cabeço do Gato;8565-707
Laurindo Rodrigues;16442487;930070103;Ponta Espartal;7751-966
Nicodemos Queiroz;8689731;825851016;Cambões;5490-790
Amaro Muniz;13342298;249494081;Praça do Comércio;739-828
Reno da Costa;13034899;921075303;Lagoa da Carapita;4365-144
Emaús Lima;12633009;667221437;Arrabaça;2795-476
António Granado;17543525;227835460;Barra Nova;6409-587
Baldemar Pereira;14902431;410625288;Ribeira Quente;5290-57
Marolo Pestana;14914056;854127923;João Bragal de Baixo;4555-536
Apolinário Vicente;7230592;366818958;Cimadas Cimeiras;4108-905
Idário Meneses;11656023;236360219;Ribeira dos Covais;9775-911
Celto Pacheco;1226945;516647637;Coto;5016-151
Adério Ponte;13395003;393344825;Melão;2574-152
Lito Jordão;2881782;566367034;Vieira de Leiria;1378-768
Valdir Sacramento;3206864;397815407;Pico da Fonte do Barro;8348-226
Gersão Pereira;10949322;92316422;Borrazeiro de São Bento;8848-294
Ramberto Farinha;19163282;127770099;Vilar de Ossos;8375-749
Teodoro Delgado;6329831;603982929;Favaios;788-78
Elvino Esperança;10916475;715753938;Ribeiro da Fonte do Touro;1366-782
Fúlvio Serra;9145033;195639806;Sierra de Larouca;5811-954
Márvio Farinha;3337649;798517220;Lavajo;1112-145
Trajano Barreto;11840591;785048896;Linhó;1217-187
Quiliano Castro;6451360;916542910;Gaiteira;4171-303
Evaldo Pinto;19981423;577058791;Monte da Casa das Vacas;8451-922
Aminadabe Silva;5985891;183393866;Santo António das Paredes;6450-832
Honório Menezes;14159333;974901510;Carvalho de Rei;5163-397
Varo Pinto;16177575;209890584;Pinhal Verde;7118-942
Abraão Lameiras;19865281;694486055;Lamego transmitter;1860-574
Deodato Ferreira;9475715;283734410;Cubo;7826-178
Adriano Camacho;10522577;251959420;Vilar da Mó;9203-24
Noel Bastos;14372830;37633937;Ribeiro Escuro;6230-24
Rivelino Infante;12964593;692048692;Ribeira do Vale de Prado;2482-346
Osvaldo Cavaco;13525046;260112179;Casal do Estacal;1090-703
Salazar Mendonça;17397295;838628736;Casal do Monte;4026-543
Delmiro Pessoa;12016891;272072858;Cambeia;1828-747
Nicola Albano;10003170;710020187;Aiana;8083-304
Salvador Ferro;3236190;565379708;Alto do Lombeiro do Torgão;5165-330
Erik Moreira;9846162;246819199;Roqueirinho;7527-842
Herédia Pietra;18015139;733385024;Canada da Cadaveira;5459-241
Édipo Martins;609864;55405747;Carvalhal de São Bento;8982-28
Hipólito Lobão;4460578;873385901;Senouras;4103-94
Marlon Palermo;7073023;477841901;Moinho de Vento;2156-887
Vílmar Macedo;1123195;332393800;Torre do Bispo;403-496
Nembrode Almeida;14915422;544618427;Porto da Balça;4824-639
Azélio de Miranda;17111200;314692905;Quintãs de Baixo;6135-270
Leal Feitosa;5197629;474228405;Asseca;5813-415
Lauriano Martins;18909553;929845870;Abaças;2598-301
Silas Moreira;1400504;88134573;Amial;6732-30
Aristides Quaresma;2730005;217891958;Ribeira de Santo Amaro;8589-962
Vaíse Machado;3147353;634697529;Doninhas;5900-253
Reginaldo Carvalho;10293202;768552597;Lagoa dos Eucaliptos;8061-235
Ariel Neves;19025782;453407333;Vilar de Boi;2905-829
Austrelino Nascimento;7328928;876782565;Barranco do Furadouro;256-406
Anselmo de Jesus;4219444;492633672;Vala do Meio;5440-112
Edvino Sanches;8378118;127267698;Ribeiro dos Besteiros;2058-987
Glaúcia Vasques;17764437;366511428;Marco;2909-503
Celto da Cunha;14332732;561237628;Lançada;9696-388
Indra Mota;14894143;606083873;Fajã do Milho;3642-391
Ademir Calixto;3783951;373987526;Rio de Galinhas;7142-70
Inocêncio Raposo;13792383;503573434;Aldeia do Cano;8800-654
Sesinando Esperança;10776242;910903256;Ribeira dos Ameais;9925-757
Ulrico Gago;14090457;5062131;Oliveira do Conde;9671-919
Zebilon Alves;12027596;816137319;Estradinho;364-523
Ramberto Ferreira;19344517;825260860;The Lake Resort;5826-447
Lício de Sousa;18476481;272420757;Grande Hotel de Paris;1693-966
Octaviano Moniz;17109095;540027478;Entradas;74-893
Leandro Barcelos;16602408;896899481;Poço Longo;4991-289
Clóvis Soares;164240;838184923;Telhados;9371-13
Engrácio Morgado;4480899;673031457;Moega;3276-846
Belarmino Mesquita;12157273;519975236;Vila Moreira;4842-514
Lopo Domingues;5237988;884844508;Ribeira da Corte do Bispo;2430-322
Jacó Queirós;6081749;105384557;Cacheiro;4193-455
Gabino Alecrim;16144394;998455406;Rio Alviela;2642-551
Leôncio Monteiro;16506387;38358552;Corotelo;2346-669
Bruce Pascoal;10555733;885647425;Ribeira de Quinta Grande;31-137
Ananias Camacho;6225916;467181616;Ribeira da Carva;3504-632
Bianor Valente;153001;858445355;Ponta da Engrade;9108-451
Ticiano Correia;13649720;858908281;Cerro dos Madeiros;9173-376
Adauto Prado;3005731;373634392;Ribeira da Cachada;338-933
Torquato Morais;18190855;502063706;Alcaria do Peso;6105-759
Everaldo Vasques;1984328;642559726;Cerro da Masseira;63-618
Estevão Alvim;13269483;688263402;Dorna;7067-521
Jaque Lima;7482052;71608503;Terranho;3570-144
Valdomiro Gil;10885707;534664149;Salselas;3612-35
Timóteo Rego;10045920;551720687;Olhas;9262-285
Judas Barreiros;432868;540325922;Pinhete;9420-37
Sifredo Lobão;12300173;723332609;Ilhéu da Mina;5340-311
Nataniel Lino;2915870;713515072;Vale de Maçanedo;6574-927
Luís Macieira;2973794;156050585;Cete;2979-904
Oseias Cabrita;2026172;983668473;Club Maria Luisa;5982-569
Milton Sousa;129921;295856246;Malhadais;2617-891
Fúlvio Cunha;4092084;205009359;Ribeira de Palhavã;3945-377
Zuriel Gouveia;6691856;892379102;Rebolia de Cima;8007-286
Vicente Botelho;16974195;371030962;Mamouros;9978-298
Apolinário Lourenço;3493552;356856442;Ribeira do Vascãozinho;7666-783
Eustáquio Resende;17979036;42412455;Minhãis;3537-482
Edgar Ribeiro;13939606;371171350;Alguber;3389-908
Délio Gomes;2083609;522196327;Iberotel Club Praia Da Rocha;4325-436
Joabe Ribeiro;6782639;690047175;residencial funchal;2142-802
Geraldo Camara;19590559;181173531;Ribeiro dos Carapetos;2667-429
Bernardim Gonzaga;6192929;664473491;Cabeço do Pombal;8446-42
Fernão Mota;9168264;860551731;Préstimo;8592-809
Ilídio Barbosa;51670;757355477;Cavalinho;6601-140
Getúlio Vicente;4281718;806486625;Barranco dos Brejões;8173-625
Aventino Pereira;15489280;46606396;Vale da Perra;161-201
Venceslau Aguiar;7939913;644888078;Berrega;7209-852
Policarpo Coelho;9911418;396977384;Caldeira de Santa Bárbara;6336-573
Divo Torres;13362365;768068920;Vale de Cerdeira;9688-873
Pitágoras Simão;3172713;264664314;Casal do Vale da Bezerra;8396-666
Sadrudine Fraga;17736954;700330241;Amial;9065-288
Zarão Macedo;1324861;292956307;Monte Ceirão;6572-0
Indra Assunção;19944880;595189653;Club Maria Luisa;174-593
Alírio Abrunhosa;3721188;114216410;Lagoa da Dorde;700-768
Noame Cortez;12105870;463479140;Ardãos;8284-345
Idelso Morais;15295646;660372888;Monte Da Quinta Club;2694-271
Orlandino Carneiro;15269600;24659057;Gaula;2504-639
Prudêncio da Silveira;16559215;482297167;Castelos;5355-442
Florentino Camões;7073962;540785922;Vila de Punhe;9308-173
Quirino Gouveia;4984864;376774106;Falcão;5052-580
Bértil Delgado;1698747;203780567;Ribeira de Baçal;7047-16
Aristóteles Guido;19967518;965202359;Cabeço de João Pires;1323-638
Martins Pinto;16561449;844693515;Verdelhos;741-298
Vidálio Antunes;10225050;748822273;Pedra da Foz;3338-663
Olivar Amaral;8808526;845479759;Ribeira dos Carriços;5783-321
Dagmar Penha;15820267;60508645;Quinta da Arresima;2685-277
Aron Mourinho;14856144;955417512;Ibis Porto Norte;8057-343
Heriberto Aires;324433;318193981;Estrela da Luz;8839-69
Renato Santiago;11758745;630343708;Castelo Viegas;16-648
Plácido Moreno;17291343;308138511;Ribeiro de Vale de Matos;6797-327
Óscar Guido;365735;889800808;Estela;9084-897
Breno Figo;19801800;39984203;Boa Morte;8920-990
Martiniano Irmão;14337831;821963636;Trás de Figueiró;9461-120
Rufino Abreu;2307897;403231244;Lubagueira;5693-325
Fradique Dias;6121264;106366234;Formigas;7107-304
Aidé Conde;14439778;408501300;Ameixial;8325-508
Jansénio Cardoso;11577840;138628106;Barranco do Vale de Boi;2661-559
Perpétuo Lino;13777094;347243131;Ajuda;9175-597
Sadi Jardim;18703843;444919115;Golfeiros de Baixo;8813-358
Atão Borges;2891597;581598460;Caratão;3341-96
Franklino Salazar;10999170;851615546;Ponta da Baleeira;9752-736
Olímpio Tomé;9614794;959613994;Monte do Formozil Grande;975-694
Válter Amorim;2871463;539612148;Palheiros de São Jacinto;1848-457
Tâmiris Antunes;3381490;759258196;Alfeição;342-601
Nísio Barroso;18972946;440393253;Pedra Fita;8649-498
Francisco Cardoso;13796083;573924006;Rio Paivô;1237-707
Eberardo Campos;11669362;512666310;Póvoa da Ribeira Sardeira;341-523
Rossano Silvano;16321392;814616556;Senhora do Vale;4918-54
Ildefonso Estrela;3236901;182275066;Ribeira de Vale Pocilgão;7477-191
Ioque Gameiro;18640489;452251163;Praia de Paço de Arcos;1270-163
Pio da Silva;6279530;859771544;Barranco do Amador;4405-499
Alexandre Gonçalves;18803266;686126357;Bufarda;753-384
Durvalino Coelho;19912566;989906894;Almargens;4996-323
Habacuque Antas;6298654;441860145;Ribeiro da Godinha;8326-378
Isaltino Valverde;11700590;996000582;Albergaria Do Calvario;3129-656
Hirondino Pinto;12269419;780836263;Ribeira da Terra Alta;3764-909
Hugo Brito;3861993;749356905;Praia Castelejo;5728-551
Egídio Encarnação;11574401;596282032;Perafita;2247-588
Hazael Monteiro;19277352;101564378;Lamalonga;7072-85
Mem Ramires;15747867;504970394;Ramalho;7451-812
Aminadabe Serra;1082605;503753699;Granja de Oleiros;5858-488
Amado Palermo;3263488;592052262;Porto das Moças;3453-747
Odeberto Castilho;5141684;262725857;Lomba dos Caniços;7125-178
Castor Pessoa;16752370;492050245;Pero Calvo;8205-504
Jitendra Perdigão;10763707;626445062;Ribeira de Azevel;7273-645
Tadeu Domingues;11839924;599426482;Ribeira da Ola;307-761
Eduartino Guerra;273090;554719073;Monte da Bastarda;5527-965
Maurício Carvalheira;9231968;689151004;Santo Amaro da Amoreira;5736-759
Zebilon Dantas;8690811;174547179;Amoreira Cimeira;3134-646
Quaresma Pimenta;16255639;764189674;São Pedro de Almuro;7786-210
Raúl Cerqueira;12317482;282134731;Vale da Velha Guarda;1637-673
Adérito Vilaça;17365764;935544061;Santão;3420-761
Estevão Santos;18079570;954400276;Outeiro de Baixo;9166-654
Ápio Ferreira;6767288;295510204;Sanguinhedo;9240-267
Milton Pascoal;16457585;10362885;Vale do Simarro;183-263
Lito de Oliveira;2298733;56339594;Guerreiro;1417-246
Enio Justino;3182491;250923384;Cerro da Canafreixa;4147-282
Ivanoel Carneiro;18170939;371570074;Paraiso;6756-617
Ludovico Saraiva;6618045;293115158;Atilhó;4481-942
Ianis Meira;15614251;44820788;Verdugos de Baixo;4148-294
Expedito Oliveira;14367903;573786525;Casa do Letrado;2843-901
Benjamim Soares;3582358;938717440;Vale de Maior;7531-612
Wallace Valverde;6373904;138039715;Novainho;8261-571
Fúlvio Barbosa;16836354;389163829;Lugar dos Netos;3397-925
Analide Silveira;12743324;934463006;Castelo Novo;3648-806
Teotónio Morais;8380202;599562421;Rego Seco;6723-897
Josias Cabanas;7769761;962493115;Fondevila;5945-74
Joel Justino;9447387;879233987;Monte da Venda;5248-423
Austrelino Pascoal;14864828;494630266;Sobreira;6695-514
Magdo Quintas;5830503;271267934;Cume do Soito;7095-442
Cosme Areias;6980442;660537305;Paranhão;995-862
Lucas Guido;8926221;874097830;Sargento Mor;1659-715
Gastão Assunção;3196512;148453284;Tamanhos;8934-331
Remízio Menezes;6053369;222584909;Cruz do Facho;7692-530
Emaús Duque;7924499;87768387;Campo;7369-371
Décimo de Miranda;17348617;103827771;Loivos;6637-681
Marlon Ferreira;10071607;896471557;Serra de Vale Paredes;985-654
Eda Lousada;6848751;638637238;Praia das Cascas;3201-372
Falcão Veríssimo;5900021;828868329;Rio da Riguinha;3112-369
Ilídio Sanchez;7437162;580885220;Casal do Sarradão;5091-794
Egídio Gaspar;19405566;79267695;Barranco da Junqueira;5222-819
Cedrico Botelho;13378995;429561052;Vila Cova de Carros;3196-14
Tude Paiva;16378879;205416482;Borbela;6239-909
Cireneu Dâmaso;8668390;268511969;Ribeiro da Azenha Velha;947-906
Jonas Dinis;8486197;107485461;Vale Bordalo;1696-305
Saúl Areias;420358;686418885;Descampado;2388-782
Heriberto Pinto;15897111;391144924;São João do Campo;9968-695
Dario Silvano;18025259;307890567;Brinches;9734-390
Tavernas Cardoso;10429840;884906269;Sijãis;7995-377
Valdir Rodrigues;13026716;739198698;Urcinas;5769-130
Fradique Custóias;9677535;52803403;Faria de Baixo;4372-46
Angélico Bezerra;11121531;523789944;Vale de Santa Maria;8505-970
Silas Portela;10501006;355065235;Ribeira dos Nabos;6644-285
Egas Brito;8537146;631198966;Ponta do Cabra;5423-69
Donaldo Madureira;12210767;345097651;Serrão Grande;1680-585
Luzio de Miranda;7433785;65668639;Rebolia de Cima;418-595
Apolo Pinto;17279049;320772267;Quebrada;261-624
Jabim Madeira;14090325;371235440;Chelreira;8153-300
Laurentino França;8404248;33423;Cabo Mondego;6552-203
Célio Campos;16918162;408968081;Pereira de Selão;7331-734
Remi Quaresma;7156178;973184503;Quinta do Torres;6072-472
Guildo Lacerda;921213;625044143;Barreiria;5039-449
Delmiro Crespo;6225744;743099016;Aventeira;5534-674
Lutero Duarte;1549008;410272680;Vale do Mato;9296-57
Josefo Crespo;241757;358429885;Clube Do Lago;6201-953
Emiliano Barroso;7698649;236326142;Ponte de Anhel;9261-851
Lupicino Cairo;5553537;28868512;Seramena;6374-462
Eliézer Macedo;13877460;520601006;Ribeiro do Alpracá;849-55
Mis Castilho;6049326;652375604;Delta;8837-129
Romão Albuquerque;2415123;952474970;Lourinhal;4233-48
Celso Almeida;12741641;407957168;Cristal Vieira Praia Hotel;5780-788
Adrião Gonzaga;9662859;537360057;Vila Mos;8788-548
Orandino Frade;2976912;368807494;Forte de Santa Catarina;3220-938
Damasceno Ferro;7855114;814880585;M'ar De Ar Muralhas Hotel;1467-965
Alano Valente;19973773;246824215;Perlinhas;6308-958
Messias Menezes;7282427;523416894;Barranco do Premedeiro de Cima;945-728
Guarani Duque;6582630;14013663;Sopo;8812-407
Jader Travassos;15167295;820984092;Barranco do Cavalo;9223-458
Santana Lobo;9619720;660508890;Anadia;5169-976
Ismael Rios;19599710;262223662;Sebadelhe;9004-908
Veríssimo Pedroso;13798143;836333959;Parambos;5635-472
Querubim da Costa;17304221;643668474;Vilarinho de São Bento;4259-889
Nídio de Oliveira;4491211;845809938;João Antão;8883-407
Evélio de Castro;3728357;647008708;Restauradores;5058-57
Nilo Monteiro;17167184;819018386;Âncora Praia;9005-735
Gildásio Peixoto;10885612;231320407;Ribeiro da Castelhana;7919-321
Teodósio Meleiro;1788103;406823589;Apartments Algarve Gardens;6604-839
Sixto Godinho;1120434;667559470;Cais do Galego;530-246
Aquiles Nazario;3916872;430178976;Barril;2455-593
Dieter Vasques;8898617;980313217;Pico da Brasileira;8406-26
César Guerra;2311899;769999967;Ribeira de Vale da Cerca;3940-378
Quiliano Portugal;16921293;465407210;Várzea de Abrunhais;2840-284
Sancler Macedo;6121384;567123574;Sarrasqueira;3523-979
Vando Caetano;8473602;625080760;Tojeira;2200-847
Franklin Bernardes;2366580;87154461;Ribeira das Pereirinhas;8364-787
Raimundo Brás;13859908;605960670;Ribeiro do Vale Grande;6163-487
Gamaliel Morais;11702861;256282890;Paicão;3541-601
Alarico Alfaiate;17131560;767762977;Alto da Pelada;3209-76
Afonso Oliveira;4839272;794693990;Frades;5343-649
Zadeão Moreno;8478892;599451854;Espadanedo;8791-857
Zafriel Cabral;9380366;1187146;Esteiro Barreira;5696-594
Lécio Pimenta;7920798;859156502;Le Meridien Penina Golf & Resort;8829-346
Vitorino Botelho;15527501;581128707;Cavacas;3607-490
Adruzilo Saldanha;18739036;681724768;Hotel Saboia;7843-588
Aubri Brito;11564610;187905359;Cabaços;7903-505
Alano Andrade;3672456;742324052;Cárcua;5987-424
Norival Messias;15258519;79955826;Ortigueira;4735-185
Marcelino Nascimento;14113241;129071285;Ipanema Porto;7870-392
Amarílio Bezerra;320589;553354161;Escampado de São Miguel;2438-202
José Otelo;7862221;322224970;São Vicente;1068-373
Elias Infante;15462908;933201876;Vidais;5729-473
Delfino Alfaiate;3598423;360910330;Pai Mogo;7940-644
Warlen Carvalho;1764540;447732536;Ribeiro de Espiche;168-664
Afrânio Sanches;18696567;488611106;Vila da Cal;9058-652
Donaldo Gama;5937903;127002100;Serra de Codeçoso;2930-171
Márcio Macedo;18852861;795775891;Hotel Vip Diplomático;5078-71
Vérter Brito;19984044;209416269;São Miguel do Couto;5510-339
Bernardo Castelo;17606384;190856147;Ribeira de Santa Comba de Rossas;1627-117
Isolino Januário;4698527;721614957;Chorosa;6802-277
Simauro Carneiro;11378808;67728311;São Vicente de Lafões;6028-357
Isaías Mesquita;13725565;738337416;Pardo;2576-840
Vidálio Machado;11418291;142786916;Abambres;5518-58
Modesto Salomão;10072268;974927510;Barranco da Balança;526-771
Procópio Franco;8957093;225305188;Lameirão;3032-154
Inácio Barbosa;15437937;303653413;Monte do Pedregulho;9951-289
Elioenai Rocha;8123152;235382018;José-Alvalade-Stadion;2206-162
Virgílio Lima;2123068;983592895;Vale do Peso;5758-621
Sáli Amorim;16742231;47406880;Colo de Pito;3312-40
Salviano Bispo;18958988;438303245;Odeceixe;879-342
Valério Meireles;15450706;568452685;Romãe;4528-592
Tierri Durão;8771686;502238518;Luilhas;8901-597
Perpétuo Mourinho;10077096;521631978;Macedo do Mato;8618-863
Ioque Gomes;11938803;778122313;Chões;4174-447
Ralfe Mourinho;10477517;806930986;Dorisol Pousada Dos Vinhaticos;4926-8
Onildo Fernardes;18571531;127325480;São Fipo;1433-706
Martim Quintas;3490511;321489236;Pomar Velho;8148-982
Sindulfo Correia;2740786;46702935;Almarjão;8976-181
Aléxio Pires;16112396;185736382;Ribeiro da Casinha;383-565
Toledo Silva;4644893;732678487;Hortinhas;7306-336
Fernando Constantino;17914038;318058586;Ribeira da Tábua;1709-975
Íven Manhães;1318759;261141587;Serra da Lousada;4055-655
Tude Jordão;2385782;398877216;Esposada;8697-153
Ludovico Moutinho;19411290;887635712;Pero Neto;6988-785
Zalman Aguiar;10197582;725469289;Arronches;3883-276
Elzeário Cordeiro;12943293;627641981;Praia do Anção;2635-996
Maciel Gago;5630600;680064093;Ribeira da Mina de Aparis;4758-880
Brice Alves;10727361;421837183;Vale da Extrema;4441-224
Odeberto Madureira;8672257;689464685;Alto da Capela Velha;4953-407
Filipo Novaes;17098598;354495092;Massadas;8755-302
Gusmão Carreiro;9473147;533616740;Mercure;2823-227
Feliciano Pereira;5480718;86438911;Ribeira de São Pedro de Pomares;8182-788
Sadi Quadros;14781491;800336793;São João de Deus;1891-48
Maurício Gil;18847477;483478477;Castanheira de Baixo;941-109
Garibaldo Vicente;9248672;200377223;Serafão;9668-669
Balbino Barreto;16267915;132947984;Casa Vermelho;8476-358
Madaleno Camara;18952633;351572901;Barranco do Monte Fava;7688-75
Rodrigo Damasco;12172153;357493964;Ribeiro do Vale Santo;6429-139
Lisuarte Pontes;6754539;154785953;Vale das Antas;5644-287
Luca Galvão;428896;383095177;Vilarouco;1776-844
Porfírio Coutinho;3843523;143956120;Pena Seda;875-886
Osvaldo Otero;14348262;957446642;Casal do Soito;6010-275
Misael Mourão;12037788;397389499;Albagado;4798-588
Ramiro de Melim;15872448;591406321;Canal de São Jorge;8531-540
Salma Moura;1737082;954311145;Ribeira do Gato;8509-897
Jardel Penha;3866940;238438293;Landim;6575-669
Emanuel Conceição;13104455;419048886;Vestiaria;3327-595
Estéfano Mourinho;4191428;52361692;Paradela da Veiga;499-910
Porfírio Sanches;11782659;499886751;Antões;3097-272
Ovídio Gentil;2002633;451854381;Ribeira de São Pedro de Pomares;884-92
Natércio Carvalho;6895983;248546540;Cascalho;3385-244
Amarílio Almeida;15748397;99186449;Ilhéu de Cima;13-343
Eneias Ribeiro;3155080;253823161;Lajido;5470-461
Clídio Reis;1152597;529070280;Cavernãis;2636-79
Leoberto Brito;18717573;435240327;A da Rainha;7366-839
Aloís Barbosa;7249457;931895513;Grândola;166-395
Teófilo Espírito Santo;3518014;377232393;Ribeira do Seisal;1793-595
Beto Borges;6492806;110586731;Barranco de Vale Covo;9014-626
Janique Miranda;2737380;471238302;Quatrim;8056-879
Asdrúbal Fagundes;4995734;262396022;Ilha de Porto Santo;5380-225
Abssilão Gama;9141816;821277370;Quinta do Amaral;2114-69
Virgílio Santos;12101169;627316010;Sevilheira;8483-209
Valgi Sousa;13580256;531110517;Selho;4704-946
Arisberto Teixeira;15932615;981197628;Romeiros;485-773
Gerberto Soares;3312737;59501536;Lavajo das Murtinheiras;7511-687
Eduardo Gaspar;18528394;917264985;Cavez;7555-361
Rómulo Marquês;1570011;826212795;Paparia;8964-181
Natalício Souto Maior;10007279;791990223;Rabo do Lobo;6394-184
Oceano Aguiar;5036777;140737180;Piais;657-332
Reinaldo Encarnação;9727087;768359110;Bertelo;4340-86
Marinho Fernandes;3438209;298082549;Clube Alvorferias;9277-349
Jacó Litos;5321347;929730162;Montargil;3040-562
Balduíno Fonseca;11879472;87617809;Senhora da Glória;1922-661
Diotil Guedes;16712350;36354632;Sela;1328-46
Heitor Paredes;5524007;903915617;Sete Rios;2061-391
Sílvio Macedo;6465569;875683783;Porto das Barcas;1297-486
Nélson Pimenta;17313277;690523752;Ribeira do Faial;6760-966
Zarco Sabrosa;17862954;595587213;Cardal;6472-836
Anacleto Cavaco;18200397;765966480;Mesas;506-816
Samir Galvão;4492075;444589976;Braciosas;7802-516
